,ceb,age,educ,religion,idlnchld,knowmeth,usemeth,agefm,heduc,urban,electric,radio,tv,bicycle,nevermarr,idlnchld_noans,heduc_noans,usemeth_noans
27,3,46,3,protestant,4.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
28,1,25,10,protestant,-1.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,1,0,0
29,4,46,0,other,4.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
30,3,49,12,spirit,3.0,1.0,1.0,21.0,15.0,1,1.0,1.0,1.0,1.0,0,0,0,0
31,7,43,6,protestant,-1.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,1.0,1,1,0,0
32,4,39,5,protestant,4.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
33,4,39,5,protestant,4.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
34,4,25,5,other,4.0,1.0,1.0,21.0,14.0,1,0.0,0.0,0.0,0.0,0,0,0,0
35,2,22,7,spirit,4.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
36,3,35,6,protestant,2.0,1.0,1.0,0.0,-1.0,1,0.0,1.0,0.0,0.0,1,0,0,0
37,2,40,12,catholic,2.0,1.0,1.0,25.0,15.0,1,1.0,1.0,1.0,1.0,0,0,0,0
38,5,40,7,spirit,5.0,1.0,1.0,17.0,0.0,1,1.0,1.0,0.0,1.0,0,0,0,0
39,2,29,0,protestant,6.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
40,1,33,12,other,4.0,1.0,1.0,22.0,12.0,1,1.0,1.0,0.0,0.0,0,0,0,0
41,2,26,3,protestant,2.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
42,2,41,12,protestant,2.0,1.0,1.0,23.0,13.0,1,1.0,1.0,1.0,0.0,0,0,0,0
43,1,21,7,protestant,4.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
44,0,19,10,protestant,4.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
45,1,28,0,spirit,4.0,1.0,1.0,0.0,-1.0,1,1.0,0.0,0.0,0.0,1,0,0,0
46,1,25,12,catholic,2.0,1.0,1.0,25.0,14.0,1,1.0,1.0,1.0,0.0,0,0,0,0
47,3,48,12,catholic,4.0,1.0,0.0,30.0,15.0,1,1.0,1.0,1.0,1.0,0,0,0,0
48,3,32,14,catholic,3.0,1.0,1.0,22.0,14.0,1,1.0,1.0,1.0,1.0,0,0,0,0
49,3,27,10,protestant,3.0,0.0,0.0,17.0,7.0,1,1.0,1.0,1.0,1.0,0,0,0,0
50,2,37,5,spirit,6.0,1.0,1.0,0.0,-1.0,1,0.0,1.0,0.0,0.0,1,0,0,0
51,0,24,10,catholic,2.0,0.0,0.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
52,2,40,12,catholic,3.0,1.0,1.0,19.0,12.0,1,1.0,1.0,1.0,1.0,0,0,0,0
53,5,49,17,spirit,5.0,1.0,1.0,17.0,10.0,1,1.0,1.0,1.0,0.0,0,0,0,0
54,2,38,14,other,3.0,1.0,0.0,25.0,17.0,1,1.0,1.0,1.0,1.0,0,0,0,0
55,2,32,13,other,6.0,1.0,1.0,19.0,-2.0,1,1.0,1.0,1.0,1.0,0,0,1,0
56,0,22,7,spirit,4.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
57,2,24,4,spirit,4.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
58,2,41,17,other,2.0,1.0,1.0,24.0,17.0,1,1.0,1.0,1.0,1.0,0,0,0,0
59,1,30,7,catholic,3.0,1.0,1.0,18.0,8.0,1,0.0,1.0,0.0,0.0,0,0,0,0
60,5,46,5,protestant,6.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
61,5,36,12,protestant,3.0,1.0,1.0,20.0,12.0,1,1.0,1.0,1.0,1.0,0,0,0,0
62,0,45,3,protestant,2.0,1.0,1.0,19.0,-2.0,1,1.0,1.0,1.0,1.0,0,0,1,0
63,3,42,10,protestant,4.0,1.0,1.0,39.0,12.0,1,1.0,1.0,1.0,1.0,0,0,0,0
64,1,16,8,spirit,4.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
65,4,44,10,catholic,4.0,1.0,0.0,25.0,12.0,1,1.0,1.0,1.0,0.0,0,0,0,0
66,0,17,11,catholic,2.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,1.0,0.0,1,0,0,0
67,0,15,8,catholic,0.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,1.0,0.0,1,0,0,0
68,0,22,7,protestant,3.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,0.0,1,0,0,0
69,3,29,7,protestant,4.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,0.0,1.0,1,0,0,0
70,1,24,16,protestant,3.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
71,1,36,2,protestant,4.0,1.0,0.0,35.0,0.0,1,1.0,1.0,0.0,0.0,0,0,0,0
72,3,41,19,protestant,3.0,1.0,1.0,27.0,16.0,1,1.0,1.0,1.0,1.0,0,0,0,0
73,2,49,6,protestant,2.0,0.0,0.0,22.0,4.0,1,1.0,0.0,0.0,0.0,0,0,0,0
74,2,41,0,catholic,2.0,1.0,0.0,0.0,-1.0,1,1.0,0.0,0.0,0.0,1,0,0,0
75,2,47,15,other,2.0,1.0,1.0,21.0,15.0,1,1.0,1.0,0.0,1.0,0,0,0,0
76,2,40,13,catholic,2.0,1.0,1.0,20.0,12.0,1,1.0,1.0,1.0,1.0,0,0,0,0
77,4,39,15,protestant,4.0,1.0,1.0,22.0,13.0,1,1.0,1.0,1.0,0.0,0,0,0,0
78,2,22,0,spirit,5.0,1.0,0.0,20.0,6.0,1,0.0,0.0,0.0,0.0,0,0,0,0
79,0,17,7,other,4.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,0.0,1,0,0,0
80,2,30,16,spirit,2.0,1.0,1.0,24.0,15.0,1,1.0,1.0,1.0,1.0,0,0,0,0
81,2,36,14,protestant,4.0,1.0,1.0,22.0,10.0,1,1.0,1.0,1.0,1.0,0,0,0,0
82,4,27,10,other,4.0,1.0,1.0,19.0,10.0,1,1.0,1.0,1.0,0.0,0,0,0,0
83,4,36,7,protestant,6.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,0.0,1,0,0,0
84,0,17,8,protestant,2.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,1.0,0.0,1,0,0,0
85,1,29,6,protestant,2.0,1.0,1.0,15.0,15.0,1,1.0,1.0,1.0,0.0,0,0,0,0
86,2,36,2,other,3.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
87,5,46,10,protestant,4.0,1.0,1.0,24.0,10.0,1,1.0,1.0,1.0,1.0,0,0,0,0
88,3,30,5,protestant,3.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
89,3,39,12,other,4.0,1.0,1.0,19.0,12.0,1,1.0,1.0,1.0,0.0,0,0,0,0
90,2,33,17,other,2.0,1.0,1.0,23.0,17.0,1,1.0,1.0,1.0,0.0,0,0,0,0
91,1,18,10,protestant,4.0,1.0,1.0,0.0,-1.0,1,0.0,1.0,0.0,0.0,1,0,0,0
92,2,28,11,catholic,4.0,1.0,1.0,22.0,12.0,1,1.0,1.0,1.0,1.0,0,0,0,0
93,1,24,7,spirit,4.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
94,3,25,10,protestant,3.0,1.0,1.0,24.0,16.0,1,1.0,1.0,1.0,0.0,0,0,0,0
95,0,21,7,protestant,4.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
96,0,16,7,spirit,4.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
97,2,23,7,other,4.0,1.0,1.0,0.0,-1.0,1,0.0,1.0,0.0,0.0,1,0,0,0
98,2,25,10,other,3.0,1.0,1.0,0.0,-1.0,1,0.0,1.0,0.0,0.0,1,0,0,0
99,6,39,12,other,4.0,1.0,1.0,16.0,12.0,1,1.0,1.0,1.0,0.0,0,0,0,0
100,2,37,20,other,2.0,1.0,1.0,28.0,20.0,1,1.0,1.0,1.0,1.0,0,0,0,0
101,1,32,13,catholic,3.0,1.0,1.0,26.0,17.0,1,1.0,0.0,1.0,1.0,0,0,0,0
102,5,47,4,spirit,2.0,1.0,1.0,20.0,0.0,1,1.0,0.0,0.0,0.0,0,0,0,0
103,4,39,14,protestant,4.0,1.0,1.0,21.0,16.0,1,1.0,1.0,1.0,1.0,0,0,0,0
104,0,28,12,protestant,2.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,0.0,1,0,0,0
105,3,31,12,catholic,4.0,1.0,1.0,19.0,12.0,1,0.0,0.0,0.0,0.0,0,0,0,0
106,0,24,12,protestant,2.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,0.0,1,0,0,0
107,7,40,5,spirit,4.0,1.0,1.0,18.0,0.0,1,1.0,1.0,1.0,0.0,0,0,0,0
108,0,18,0,other,-1.0,1.0,0.0,17.0,-2.0,1,1.0,1.0,1.0,0.0,0,1,1,0
109,3,31,12,catholic,3.0,1.0,1.0,28.0,17.0,1,1.0,1.0,1.0,0.0,0,0,0,0
110,1,38,7,spirit,4.0,1.0,1.0,30.0,10.0,1,1.0,1.0,1.0,0.0,0,0,0,0
111,0,15,7,spirit,0.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,1.0,0.0,1,0,0,0
112,1,28,12,catholic,3.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,0.0,1,0,0,0
113,4,43,10,protestant,4.0,1.0,1.0,25.0,7.0,1,1.0,1.0,1.0,0.0,0,0,0,0
115,1,21,10,protestant,1.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,0.0,1,0,0,0
116,3,41,18,catholic,4.0,1.0,1.0,25.0,17.0,1,1.0,1.0,1.0,1.0,0,0,0,0
117,3,40,12,other,2.0,1.0,1.0,22.0,15.0,1,1.0,1.0,1.0,1.0,0,0,0,0
118,3,25,6,other,5.0,1.0,1.0,23.0,7.0,1,0.0,1.0,0.0,0.0,0,0,0,0
119,2,35,12,other,2.0,1.0,1.0,17.0,15.0,1,1.0,1.0,1.0,0.0,0,0,0,0
120,0,20,7,protestant,4.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
121,1,29,0,other,2.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
122,2,24,12,other,4.0,1.0,1.0,23.0,14.0,1,1.0,1.0,0.0,0.0,0,0,0,0
123,0,18,8,other,-1.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,1,0,0
124,0,21,12,spirit,4.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
125,2,26,10,protestant,6.0,1.0,1.0,25.0,9.0,1,1.0,1.0,0.0,0.0,0,0,0,0
126,3,37,12,protestant,4.0,1.0,1.0,26.0,0.0,1,1.0,1.0,1.0,1.0,0,0,0,0
127,2,27,12,spirit,2.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
128,2,26,12,protestant,4.0,1.0,1.0,23.0,10.0,1,1.0,1.0,0.0,0.0,0,0,0,0
129,1,34,15,protestant,2.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,0.0,1,0,0,0
130,6,34,9,catholic,6.0,1.0,1.0,15.0,12.0,1,1.0,1.0,1.0,0.0,0,0,0,0
131,3,37,12,protestant,3.0,1.0,1.0,21.0,10.0,1,1.0,1.0,1.0,0.0,0,0,0,0
132,0,18,9,spirit,4.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,0.0,1,0,0,0
133,3,35,12,catholic,3.0,1.0,1.0,29.0,10.0,1,1.0,1.0,1.0,0.0,0,0,0,0
134,1,22,7,protestant,3.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,0.0,1,0,0,0
135,10,48,6,spirit,4.0,1.0,1.0,16.0,7.0,1,1.0,1.0,1.0,0.0,0,0,0,0
136,4,29,12,spirit,4.0,1.0,1.0,28.0,15.0,1,1.0,1.0,1.0,0.0,0,0,0,0
137,1,23,5,protestant,4.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,0.0,1,0,0,0
138,2,29,12,protestant,3.0,1.0,1.0,25.0,13.0,1,1.0,1.0,1.0,1.0,0,0,0,0
139,2,21,12,other,3.0,1.0,1.0,19.0,10.0,1,1.0,1.0,1.0,1.0,0,0,0,0
140,0,16,10,other,2.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
141,2,43,7,protestant,4.0,1.0,1.0,20.0,15.0,1,1.0,1.0,0.0,0.0,0,0,0,0
142,1,23,7,spirit,3.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
143,0,22,12,protestant,4.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
144,1,26,12,protestant,4.0,1.0,1.0,20.0,12.0,1,1.0,1.0,1.0,0.0,0,0,0,0
145,0,19,10,spirit,4.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
146,1,24,12,protestant,3.0,1.0,1.0,21.0,12.0,1,0.0,1.0,0.0,0.0,0,0,0,0
147,3,35,14,spirit,3.0,1.0,1.0,27.0,14.0,1,1.0,1.0,1.0,1.0,0,0,0,0
148,0,19,8,protestant,2.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
149,0,24,12,protestant,3.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
150,1,34,12,protestant,2.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
151,1,25,12,catholic,5.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
152,1,25,5,spirit,5.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
153,0,20,7,spirit,2.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
154,3,36,12,spirit,3.0,1.0,1.0,21.0,12.0,1,1.0,1.0,1.0,0.0,0,0,0,0
155,2,28,16,protestant,3.0,1.0,1.0,22.0,10.0,1,1.0,1.0,1.0,0.0,0,0,0,0
156,2,28,12,catholic,2.0,1.0,1.0,21.0,12.0,1,1.0,1.0,0.0,0.0,0,0,0,0
157,3,41,12,catholic,3.0,1.0,1.0,17.0,12.0,1,1.0,1.0,1.0,1.0,0,0,0,0
158,1,31,12,catholic,1.0,1.0,1.0,21.0,12.0,1,1.0,0.0,1.0,1.0,0,0,0,0
159,2,48,12,protestant,2.0,1.0,1.0,20.0,12.0,1,1.0,1.0,1.0,0.0,0,0,0,0
160,2,29,12,catholic,2.0,1.0,1.0,17.0,12.0,1,1.0,1.0,1.0,1.0,0,0,0,0
161,1,44,5,catholic,11.0,1.0,0.0,33.0,-2.0,1,1.0,1.0,0.0,0.0,0,0,1,0
162,3,35,12,other,3.0,1.0,1.0,19.0,12.0,1,1.0,1.0,1.0,1.0,0,0,0,0
163,2,22,7,other,4.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
164,3,27,7,spirit,4.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
165,0,15,9,other,2.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,1.0,0.0,1,0,0,0
166,2,40,16,other,2.0,1.0,1.0,29.0,14.0,1,1.0,1.0,1.0,0.0,0,0,0,0
167,1,42,16,other,2.0,1.0,0.0,34.0,16.0,1,1.0,1.0,1.0,0.0,0,0,0,0
168,2,49,15,protestant,4.0,1.0,1.0,46.0,15.0,1,1.0,1.0,1.0,0.0,0,0,0,0
169,1,23,7,spirit,4.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
170,2,32,12,catholic,4.0,1.0,1.0,23.0,12.0,1,1.0,1.0,1.0,1.0,0,0,0,0
171,1,26,10,catholic,1.0,1.0,1.0,22.0,10.0,1,1.0,1.0,1.0,1.0,0,0,0,0
172,1,25,7,other,4.0,1.0,1.0,23.0,-2.0,1,1.0,1.0,1.0,1.0,0,0,1,0
173,2,25,9,spirit,5.0,1.0,1.0,21.0,10.0,1,1.0,1.0,1.0,0.0,0,0,0,0
174,1,20,10,protestant,2.0,1.0,1.0,16.0,14.0,1,1.0,1.0,0.0,0.0,0,0,0,0
175,0,20,7,spirit,2.0,1.0,1.0,17.0,7.0,1,1.0,1.0,0.0,0.0,0,0,0,0
176,4,34,12,spirit,4.0,1.0,1.0,21.0,12.0,1,1.0,1.0,1.0,0.0,0,0,0,0
177,5,45,5,other,3.0,1.0,1.0,21.0,7.0,1,1.0,1.0,1.0,1.0,0,0,0,0
178,1,23,9,other,10.0,0.0,0.0,17.0,-2.0,1,1.0,1.0,1.0,1.0,0,0,1,0
179,2,22,9,other,2.0,1.0,1.0,15.0,9.0,1,1.0,1.0,1.0,1.0,0,0,0,0
180,0,16,7,spirit,4.0,1.0,0.0,16.0,12.0,1,1.0,1.0,1.0,0.0,0,0,0,0
181,3,45,9,spirit,3.0,0.0,0.0,27.0,10.0,1,1.0,1.0,1.0,0.0,0,0,0,0
182,0,19,10,spirit,3.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
183,2,28,3,other,4.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
184,1,23,11,protestant,4.0,1.0,1.0,19.0,10.0,1,0.0,1.0,0.0,0.0,0,0,0,0
185,1,29,0,other,6.0,1.0,1.0,0.0,-1.0,1,0.0,1.0,0.0,0.0,1,0,0,0
186,0,20,7,spirit,6.0,1.0,1.0,18.0,7.0,1,0.0,1.0,0.0,1.0,0,0,0,0
187,1,27,10,protestant,3.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
188,4,33,9,spirit,5.0,1.0,1.0,21.0,10.0,1,0.0,0.0,0.0,1.0,0,0,0,0
189,0,19,10,other,4.0,1.0,1.0,0.0,-1.0,1,0.0,1.0,0.0,1.0,1,0,0,0
190,2,39,10,catholic,6.0,1.0,0.0,26.0,12.0,1,1.0,1.0,1.0,1.0,0,0,0,0
191,0,16,6,catholic,2.0,0.0,0.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
192,2,30,16,catholic,4.0,1.0,1.0,23.0,10.0,1,1.0,1.0,1.0,1.0,0,0,0,0
193,1,22,7,protestant,4.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
194,0,28,12,protestant,2.0,1.0,1.0,27.0,12.0,1,1.0,1.0,1.0,0.0,0,0,0,0
195,2,29,7,spirit,4.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
196,0,24,0,protestant,5.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
197,3,37,10,spirit,4.0,1.0,1.0,24.0,10.0,1,1.0,1.0,1.0,0.0,0,0,0,0
198,3,31,0,other,6.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
199,4,33,12,protestant,3.0,1.0,1.0,20.0,12.0,1,1.0,1.0,1.0,0.0,0,0,0,0
200,1,22,0,protestant,2.0,1.0,1.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,1,0,0,0
201,9,47,3,protestant,10.0,1.0,1.0,37.0,7.0,1,0.0,1.0,0.0,0.0,0,0,0,0
202,4,40,12,protestant,6.0,1.0,1.0,24.0,10.0,1,0.0,0.0,0.0,0.0,0,0,0,0
203,0,15,7,other,2.0,1.0,0.0,0.0,-1.0,1,0.0,1.0,0.0,0.0,1,0,0,0
204,3,26,7,other,4.0,1.0,0.0,18.0,7.0,1,0.0,1.0,0.0,0.0,0,0,0,0
205,1,29,7,other,2.0,1.0,1.0,0.0,-1.0,1,0.0,1.0,0.0,0.0,1,0,0,0
206,5,32,6,spirit,6.0,1.0,1.0,31.0,0.0,1,0.0,1.0,0.0,1.0,0,0,0,0
207,0,37,6,protestant,-1.0,1.0,0.0,21.0,5.0,1,0.0,1.0,1.0,0.0,0,1,0,0
208,0,21,10,protestant,6.0,1.0,1.0,0.0,-1.0,1,0.0,1.0,1.0,0.0,1,0,0,0
209,1,27,10,spirit,2.0,1.0,1.0,0.0,-1.0,1,0.0,1.0,0.0,0.0,1,0,0,0
210,0,37,7,protestant,4.0,1.0,0.0,31.0,10.0,1,0.0,0.0,0.0,0.0,0,0,0,0
211,3,26,7,protestant,5.0,1.0,0.0,22.0,5.0,1,0.0,0.0,0.0,0.0,0,0,0,0
212,3,34,0,other,4.0,1.0,0.0,16.0,8.0,1,0.0,1.0,0.0,0.0,0,0,0,0
213,0,15,7,protestant,0.0,1.0,0.0,0.0,-1.0,1,0.0,1.0,0.0,0.0,1,0,0,0
214,9,48,0,other,5.0,1.0,1.0,16.0,0.0,1,0.0,1.0,0.0,0.0,0,0,0,0
215,1,23,5,protestant,4.0,1.0,1.0,0.0,-1.0,1,0.0,1.0,0.0,0.0,1,0,0,0
216,1,23,9,spirit,4.0,1.0,0.0,0.0,-1.0,1,0.0,1.0,0.0,1.0,1,0,0,0
217,0,23,13,other,3.0,1.0,0.0,22.0,14.0,1,1.0,1.0,1.0,1.0,0,0,0,0
218,2,30,14,catholic,2.0,1.0,0.0,15.0,14.0,1,1.0,1.0,1.0,1.0,0,0,0,0
219,2,29,10,catholic,4.0,1.0,1.0,0.0,-1.0,1,1.0,0.0,0.0,0.0,1,0,0,0
220,0,45,4,spirit,10.0,0.0,0.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
221,3,29,14,spirit,3.0,1.0,1.0,18.0,13.0,1,1.0,1.0,1.0,0.0,0,0,0,0
222,2,30,9,spirit,4.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,0.0,1,0,0,0
223,2,27,12,protestant,2.0,1.0,1.0,16.0,12.0,1,1.0,1.0,1.0,1.0,0,0,0,0
224,4,28,12,catholic,4.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
225,3,29,0,protestant,6.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
226,2,27,0,catholic,4.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
227,3,26,10,catholic,4.0,1.0,1.0,16.0,10.0,1,1.0,1.0,0.0,0.0,0,0,0,0
228,6,30,4,catholic,-1.0,1.0,1.0,18.0,10.0,1,1.0,1.0,0.0,0.0,0,1,0,0
229,1,26,10,spirit,4.0,1.0,1.0,19.0,10.0,1,1.0,1.0,0.0,0.0,0,0,0,0
230,3,33,9,spirit,6.0,1.0,1.0,20.0,2.0,1,1.0,1.0,1.0,0.0,0,0,0,0
231,3,33,10,spirit,2.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
232,0,16,9,spirit,2.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
233,0,18,7,spirit,4.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
234,1,39,10,spirit,4.0,1.0,0.0,26.0,10.0,1,1.0,1.0,1.0,0.0,0,0,0,0
235,1,17,7,spirit,4.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,1.0,0.0,1,0,0,0
236,1,22,0,other,5.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
237,0,22,7,other,5.0,0.0,0.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
238,4,35,9,protestant,4.0,1.0,1.0,22.0,7.0,1,1.0,1.0,0.0,0.0,0,0,0,0
